id	text
2001	পিনাকী দাদাকে নতুন করে কিছু বলার নেই সত্যি কথাগুলো এত সুন্দর করে তুলে ধরেন ধন্যবাদ পিনাকী ভট্টাচার্য দাদা কে
2002	পিনাকির উস্কানিতে দেশের অর্থনীতি আজ পঙ্গু,, একটা একটা শিল্প কলকারখানা বন্ধ হচ্ছে, নতুন কোন বিদেশি বিনিয়োগ নেই- এতে লাভ হচ্ছে ভারতের, ভারতের পণ্যর উপর আরো বেশি নির্ভর হচ্ছে বাংলাদেশ। তার প্রমান মুখে ভারতবিরোধিতা সত্বেও গত ১১ মাসে ইনুস সরকার ভারতের কোন পণ্য আমদানী বন্ধ করেনি বরং বাড়িয়েছে।
2003	চিৎকার করে যে কথাগুরো বলতে চেয়েছিলাম সেগুলো ঠান্ডা মাথায় বলে দিলো।বাশটা জায়গা মতো দিছে।পিনাকি দাদাকে ধন্যবাদ দেয়ার ভাষা নেই।এগিয়ে যান সত্যের পথে
2004	এই ভিডিও টার আশায় ছিলাম গত এক মাস যাবৎ , ধন্যবাদ দাদা
2005	রুমিন ফারহানার মুখোশ উন্মোচন করার জন্য দাদাকে অনেক ধন্যবাদ।
2006	ধন্যবাদ পিনাকী দাদা 
2007	চমৎকার বিশ্লেষণ দাদা। ভাষণ অনেক হয়েছে রুমিন এবার বিদায় নাও।
2008	আপনার মতো যোগ্যব্যক্তি এইদেশের জন্য খুবই প্রয়োজন 
2009	ঠিক বলেছ মুসলিমদের বাপ
2010	স্যালুট দাদা।
2011	প্রতিদিন ৩-৪ টা টক শো করতে হবে দাদা। এরকম প্রতিদিন তিন চার জন করে ওয়াশ দিলে ভবিষ্যতের বাংলাদেশ কিছুটা হলেও শান্তি পাবে।
2012	সেই লেভেলের দোচন দিছেন দাদা অসাধারণ
2013	অসংখ্য ধন্যবাদ দাদা সোর্স সহ সত্যি কথাগুলো তুলে ধরার জন্য 
2014	সাব্বাস দাদা প্রতিটি কথা খুবই ভালো লাগছে।।।।
2015	মুজিব এর জায়গায় রুমিনের ছবি এডিট টা অস্থির 
2016	বরাবরের মতো আপনার প্রত্যেকটা উপস্থাপনা অনেক আকর্ষণীয় হয়ে থাকে। আপনি বর্তমানে সবচেয়ে আলোচিত একজন ব্যক্তি। আমার পছন্দের একজন প্রিয় ব্যক্তিত্ব। পিনাকী দাদা ভালোবাসা রইলো আপনার প্রতি 
2017	এগিয়ে যান সত্যের পথে, পিনাকী দাদাকে ধন্যবাদ জানায় সবসময় গুরুত্বপূর্ণ কথা তুলে ধরেন। ইনকিলাব জিন্দাবাদ 
2018	দাদা আপনি আসলেই একটা জিনিস ভালোবাসা রইলো
