id	text	label
10035522	অপেক্ষায় ছিলাম দাদা এমন একটা প্রতিবেদনের জন্য	None
10035523	চোদাভাই তোমার কি মালাউট	Profane
10035524	সত্য তুলে ধরার জন্য পিনাকী দাদাকে অসংক কৃতজ্ঞতা	None
10035525	তাড়াইল থানা থেকে দেখছি দাদাআপনার প্রতি অবিরাম প্রেম	None
10035526	তাড়াইল থেকে আছি	None
10035527	চোদাভাই তোমার কি মালাউট	Profane
10035528	কৃতজ্ঞতা আপনাকে দাদা ভাইসত্য কথা তুলে দরার জন্য	None
10035529	বাংলাদেশের যত ভুয়া মুক্তিযুদ্ধা আছে তাদের সকলকে শনাক্ত করে এত দিন রাষ্ট্রীয় অর্থ আত্মসাতের দায়ে শাস্তির আওতায় আনা উচিত	Abusive
10035530	কালনী যুদ্ধ আমাদের গ্রামে হয়েছিলো এবং এই গ্রামেরই কৃতি সন্তান শহীদ জগৎ জ্যোতিবীর উত্তম প্রধান ভুমিকা পালন করেছিলেন ফজু পাগলা হাসাইলিরে	None
10035531	জগৎ জ্যোতি একজন বীরশ্রেষ্ঠ শুধু মিলিটারি ব্যাকগ্রাউন্ড না হওয়ার কারণে তাকে বীরশ্রেষ্ঠ খেতাব থেকে বঞ্চিত করা হয়	None
10035532	সত্য কথা তুলে ধরার জন্য দাদাকে শুভেচ্ছা	None
10035533	চোদাভাই তোমার কি মালাউট	Profane
10035534	আমার বাসা কিশোরগঞ্জ সদরের রথকলা কারুজ্জামান আমার দাদা প্রথম পতাকা উত্তলন করছিলেন ফজলুর রহমান মুক্তি যুদ্ধ করছিলো আমার দাদার মুখে শোনা	None
10035535	সবার আগে দেশ দেশের মাটি ও দেশের মানুষ ;সবার আগে প্রিয় বাংলাদেশদাদাজিন্দাবাদ	None
10035536	পিনাকি দাদা আপনার কথাগুলো আগামীতে ইতিহাস হিসাবের লিখে বইতে লিপিবদ্ধ হবে এবং আগামী প্রজন্ম জানবে সুতরাং আপনি অতি সত্য কথাগুলো এভাবেই তুলে ধরবেন যাতে কোনো অসত্যের লেশমাত্র না থাকে	None
10035537	শুভেচ্ছা পিনাক দাদা আপনাকে অনেক অনেক কৃতজ্ঞতা আপনার কাছ থেকে আমরা সত্য সত্য ঘটনা জানতে পারি	None
10035538	৯ মাসের যুদ্ধে মেইন যুদ্ধ হয় ১৩ দিন এটা আমি আমার দাদা বাবা দের কাছ থেকে ই জেনেছি দাদা ইলিয়াস ভাই জিন্দাবাদ মুসলিম জিন্দাবাদ সাহসী সাংবাদিক জিন্দাবাদ	None
10035539	তোর চৌদ্দগুষ্টির জন্ম পাপ	Abusive
10035540	দাদা এভাবে হাটে হাঁড়ি ভাংগার জন্য হায়রে ফজা তোর আমও গেলো ছালাও গেলো দাদা আপনাকে অসংখ্য কৃতজ্ঞতা এভাবে সত্যি তুলে ধরার জন্য	None
10035541	কৃতজ্ঞতা জনাব পিনাকী দাদাকে	None
10035542	দাদা আমরা আপনার পাশেই আছি আপনি এভাবে বাংলাদেশের বাটপার চিটার দের মুখোশ খুলে দিন কৃতজ্ঞতা দাদা	Abusive
10035543	সত্য কথা বলাল জন্য কৃতজ্ঞতা	None
10035544	এতোক্ষন ফজা পাগলার ভুয়া মুক্তিযুদ্ধের সত্য ঘটনা শুনে মন থেকে আরও ভালবাসা বেড়ে গেলো পিনাকী দাদার জন্য	None
10035545	সত্যি অনেক বেশি অপেক্ষা করি	None
10035546	দাদা জিন্দাবাদ	None
10035547	হাজার লক্ষ কোটি স্যালুট আমার প্রাণপ্রিয় পিনাকী দাদাকে	None
10035548	হাজার লক্ষ কোটি স্যালুট আমার প্রাণপ্রিয় পিনাকী দাদাকে	None
10035549	দাদা তার এই টকশোটা আমি যে দিন দেখেছিলাম ঐ দিনই তার বক্তব্যের কিছু অংশ সন্দেহজনক মনে হয়েছিল	None
10035550	গাঞ্জার নৌকা পাহাড়ত চলে	None
10035551	কমেন্টে এসে অবাক হলাম আমরা বাংলাদেশী কতটা দূরভাগা নিজের মুক্তিযুদ্ধকে নিয়ে নিজেদের অস্তিত্ব কে নিয়ে কেউ এভাবে তামশা করছে আর আমরা তাকে সমর্থন দিচ্ছি	None
10035552	কৃতজ্ঞতা	None
10035553	হতাশ	None
10035554	“ফজু পাগলার পুটকি মারা সারা	Profane
10035555	কেউ যুদ্ধ করে নাই সব যুদ্ধ করছে পিনাকি আর ইলিয়াস	None
10035556	কৃতজ্ঞতা	None
10035557	আপনাকে বেশ অনেক কৃতজ্ঞতা	None
10035558	ও পযা জে পাগলা এটা যে প্রমাণ হয়ে গেল আরেকবার	Abusive
10035559	এই ধরনের ভূয়া মুক্তিযোদ্ধার অভাব নাই আমাদের গ্রামে যারা মুক্তিযোদ্ধা তারা নাকি ভুয়া মুক্তিযোদ্ধা গ্রামের লোকজন বলে	Abusive
10035560	হারে ফজারে আগে মানুষ জানত তুই মুক্তিযোদ্ধা সেটাই তো ভালো ছিল এখন মাইনকার মত বেশি উত্তেজিত হইতে গিয়া আমও গেল ছালাও গেল	Abusive
10035561	ফজা পাগলা ভুয়া মুক্তিযোদ্ধা এটা আগেই থেকে জানতাম দাদা	Abusive
10035562	মাশা সৃষ্টিকর্তা দাদা একটা জিনিস	None
10035563	সত্য ঘটনা উৎঘটনের জন্য পিনাকী দাদা কে কৃতজ্ঞতা জানাচ্ছি	None
10035564	আলহামদুলিল্লাহ আপনি বাংলাদেশের সম্পদ আলহামদুলিল্লাহ অনেক বেশ শুভকামনা রইল দেশবাসীর পক্ষ থেকে আপনার জন্য সব সময় প্রিয় সাংবাদিক পিনাকি সাহেব	None
10035565	৩ টা স্টিমার নাহয় গুনেছে কিন্তু ১৭৯ জন পাকিস্তানি এইটা কিভাবে গুনলো আবার বলসে সব পাকিস্তানী পালিয়ে গেসে ওরে দেখে	None
10035566	এই রকম ভুয়া মুক্তিযুদ্ধা হাজারো হাজারো আছে আমার জানা মতে বেশির ভাগ সত্যিকার মুক্তিযোদ্ধারা নিজের নাম তালিকায় লিখাবার জন্য অত উতসাহি ছিল না বিশেষ করে স্বাধীনতার পর মুক্তিযোদ্ধার নাম দিয়ে যে সব অসামাজিক কাজ সব চলতে থাকে তাতে সত্যিকার মুক্তিযোদ্ধারা নিজের পরিচিতি লজ্জায় লুকিএ রাখত ভুয়া মুক্তিযোদ্ধারাই অতি উৎসাহ নিয়ে জায়গামত নিজের নাম তালিকাভুক্ত করে আসত	None
10035567	যে যত বড় ৭১চেতনাধারি সে ততবড় ধাপ্পাবাজ বাটপার	Abusive
10035568	আগের জন্মের কথা বাদ দেন	None
10035569	এই ন্যংটা সুলেমান এইভাবেই প্রমাণসহ জুলাই আন্দোলনের প্রথমদিকে আওয়ামীলীগের সাজানো আন্দোলন বলেছিল সালা একটা এনার্কিস্ট ভিউ ব্যবসায়ী	Profane
10035570	ফজলু কমান্ডার আসতেছে ফায়ার	None
