id	text	label
1	কৃতজ্ঞতা বর্ডার গার্ড দেরকে এভাবে পাহারা দিতে হবে ভয় পেলে চলবে না তা না হলে আমাদের উপর ​আক্রমণ করতে পারে	None
2	ছোটবেলায় অনেক কষ্ট করে কিছু গালাগালি শিখছিলাম ভাবছিলাম এরকম কোন সময় তা প্রয়োগ করব কিন্তু আফসোস কিছু বন্ধুদের স্ক্রিনশট এর ভয়ে তাও দিতে পারছিনা আপনার অবশ্যই বুঝে নিবেন	None
3	অতিরিক্ত এ স্বয়ং বাদুর বানাইয়া ফেলছেন রে	Abusive
4	চিন হিন্দুস্তান রাশিয়া এই তিন দেশ এক থাকলে বিশ্বকে শাসন করা সম্ভব	None
5	এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই সমস্ত চোরদের গড ফাদার	Abusive
6	তুরা কিসের জন্য দুভাই যাবি অন্য দেশে কেন জাস না	None
7	দেশ বিভাগের সময়ে পশ্চিম পাকিস্তানে ২৫ শতাংশ সংখ্যালঘু মানুষ বসবাস করতোসংখ্যালঘু দের উপরে বিভিন্ন রকমের অত্যাচারের ফলে আজ সেই সংখ্যা মাত্র ১ শতাংশ	None
8	ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা আর বানানো হলো না	Abusive
9	আজকে এই উৎসব কেনো	None
10	ইমরান ছাড়া পাকিস্তান কখনোই ঘুরে দাড়াতে পারবে নাকারন পাকিস্তানের সেনাবাহিনীর আয়েশি জীবনযাপনের কৌশল রাজনীতিতে হস্তক্ষেপ করা যা পাকিস্তানিরা বুঝে ফেলছেন তা ছাড়া ১৯৭১ সালের তৎকালীন পূর্ব পাকিস্তানের জনগনের উপর কুখ্যাত সেনাবাহিনীর বর্বর হত্যাকাণ্ডধর্ষনলুটপাট এবং পাকিস্তান বিভক্ত হওয়ার বিষয়টি পাকিস্তানিরা জেনে গেছেতাই কুখ্যাত সেনাবাহিনীর উপর পাকিস্তানিরা আস্তা রাখতে পারছে না তাই পাকিস্তানিরা বেচে থাকার জন্য ও দেশটিকে রক্ষার জন ইমরান খানকে বেছে নিয়েছে	None
11	গরিবের রক্ত চুসে খাচ্ছে আপনার ব্যবসায়ীরা যেভাবে মন চাই সেভাবেই দাম বাড়ায় দেখার কেহ নাই সৃষ্টিকর্তা ছাড়া	None
12	মুসলিম ছাগুলো ছা পেরে পেরে গোটা পৃথিবীর ধ্বংস করে দেবে শালা শুয়োরের ছা গুলো	Profane
13	এইটা একমাত্র বাংলাদেশেই সম্ভব	None
14	বাংলা সবার মা জননী শেখ হাসিনা	None
15	মাহী আপু মাঠ গরম করে ফেলছে	None
16	বাড়ি বাল ফালায়ছে	Profane
17	কুততার বাচচাদের ধরে নস কেন	Abusive
18	আমেরিকা কি বাংলাদেশের মনিব বাংলাদেশ চলবে নিজস্ব আইন অনুযায়ী	None
19	শুভ কামনা ন্যাটো দেশ পোল্যানড	None
20	কামাল ডাক্তার সরকারের দালাল	Abusive
21	ভারত নিয়ে এত কথা হয় ভারতে একটা মসজিদ ভাঙ্গা হয়েছে আর আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদে বিস্ফোরণ হয় সেটা কেউ দেখেনা	Religious Hate
22	বিএনপির লজ্জা শরম শরম আছে তাই ক্ষমতা ছেড়ে দিতো আপনারা এত নির্লজ্জ বেহায়া	Abusive
23	সামনে দেখবো এগুলো আর কি বলবে কত বছর লাগে এগুলো করতে এমন দেশ কোথায় আছে	Abusive
24	আর কতো জ্ঞান দিবেন	None
25	এরা জনগনকে হালের বলদ বানাচ্ছে কারন ধারের টাকা দিয়ে কখনও দেশের সংকট মোকাবেলা করা সম্ভব নয়	Political Hate
26	আপনি কথা কম বললে ভালো হবে আপনার তো আর অগ্রসর হওয়ার কিছু নেই দেশের আপনার আর কি চাই না আগামীতে হওয়ার জন্য প্রয়োজনীয় পদক্ষেপ নিচ্ছেন	None
27	এমন আশ্বাস আমিও দিতে পারি	None
28	মন্ত্রী মনোনীত হওয়ায় আমাদের ভৈরব বাসীর পক্ষ হতে নাজমুল হাসান পাপন সাবকে লাল গোলাপ শুভেচ্ছাও অভিনন্দন	None
29	আর একজনও রোহিঙ্গা অনুপ্রবেশ চায়না বিষ পোড়া হয়ে দাঁড়িয়েছে প্রয়োজনে দালালদের ক্রসফায়ার দেওয়া হোক	Abusive
30	আপনাদের কি লজ্জা নাই আর্জেন্টিনার জার্সি গায় দিসেন	Abusive
31	হায় হায় প্রেসিডেন্ট জিয়ার নাম কইয়া ফালাইছে হাসুবু যদি এইডা শোনে তাইলে ওর ব্যাবসা ধ্বংস অরে নাশকতার মামলা দিয়া ভিতরে হান্দাইয়া দিবো হালা শেখ মুজিবের নাম কইতি তাইলেই তো হাসুবু তোদের উপহার পাঠাইতো	Political Hate
32	সফলতার আর এক ধাপ উপরে উঠলো আমাদের দেশ	None
33	এইসব পুরানো প্রযুক্তির যুদ্ধবিমান দিয়ে কিছুই হবেনাখালি গালগল্প দিয়ে কিছুই হবেনা ৫১ বছর একটা দেশের জন্য অনেক সময়কিছুই হয়নি প্রতিবেশী দেশগুলোর তুলনায়	None
34	এদেরকে গেরেপ্তার করে আইনের আওতায় এনে শাস্তি হিসেবে ফাঁসি দেওয়া হোক	Abusive
35	আমি সঠিক জানিনা সে হিন্দু না মুসলমান	None
36	কৃতজ্ঞতা তবে অসম্পূর্ণ রিপোর্ট	None
37	কোন সংবিধান হবে না তত্ত্বাবধায় সরকারে কিনে নির্বাচন হবে কোন দলীয় নির্বাচন চায়না হাসিনার অধীনে কোন নির্বাচন হতে আরে না	Political Hate
38	আরো আগে কেন নিউজ হলো না	None
39	নিশ্চয়ই সে দাজ্জালের একজন সৈন্য ছিলো	Abusive
40	সৃষ্টিকর্তা বেগম জিয়াকে তুমি সুস্থ্যতা দান করো	None
41	নির্বাচন প্যানেল হঠাও	None
42	সৌদি যুবরাজ একটা বেজন্মা	Profane
43	ডিজিক্স এক্স নামে একটা মহামারী আসবে সেটা করোনা ভাইরাস থেকে ২০ গুণ বেশি শক্তিশালী	None
44	আইন মন্ত্রী সাহেব আপনাদের অধীনে নিবাচন করা মনে নিজের জীবন বিসজন দেওয়া কারন আপনাদের বিশ্বাস করেনা পাগলে ও	None
45	নাসির উদ্দিন উজ্জ্বল দেশের শেরা জায়গায় শেরা প্রতিবেদক	None
46	রাশিয়াকে ভালবাসি একমাএ ফিলিস্তিনের কারনে ইনশাসৃষ্টিকর্তা জয় হবে রাশিয়ার	None
47	আমাদের বাংলাদেশটা এখন সনি আট চ্যানেলের ক্রাইম পেট্রোল হয়ে গেছে এতদিন দেখতাম প্রতিদিন ক্রাইম পেট্রোল আর এখন দেখি প্রতিদিন নিউজ টায়ার ক্রাইম পেট্রোল দেখতে হয়	None
48	বালের আলাপ কারো নিজস্বতা থাকতে পারে না	Profane
49	অতো বড়ো শিল পরলো কিন্তুু আসতো থাকলো কি ভাবে	None
50	ইন্ডিয়া গুজরাটে নীলগাই কতগুলো নেবে	None
51	সাকিব হয়ে গেছে এখন বিসিবির অভিমানী বউ	Abusive
52	সৃষ্টিকর্তা্ চট্টগ্রামের মানুষদের আরও বেশি করে ধন সম্পদ দান করুনআমীন চট্টগ্রামের অহংকার	None
53	ঘুস দাতা ও ঘুস গ্রহিতা উভয়ে সমান অপরাধী	None
54	নান্নুবিশ্বের এক নাম্বার নির্বাচকপ্রধান	None
55	চাকরির বয়স ৩৫ চাই	None
56	বাংলাদেশের তারা কোথায় যারা প্রবাসীদের রেমিট্যান্স হিসাব নিকাশ করে চেটে পুটে খাওয়ার আশায় বসে আছে	Abusive
57	আর্জেন্টিনার চাহিদা তো সব সময় বেশি	None
58	আপনি এতো ভালো পরিচালক প্রযোজক এমনকি শিল্পিরাও আপনাকে দেখতে পারে না	None
59	শেখ হাসিনা মানেই নতুন কিছু নির্মাণ নতুন কিছু সৃষ্টি ও নতুন কিছুর উদ্বোধন হে মহান সৃষ্টিকর্তা পাক দেশ উন্নয়ন নেত্রী শেখ হাসিনাকে ফেরাউনের বংশধরদের কাল থাবা থেকে হেফাজত করুন এবং পৃথিবীর বুকে বাংলাদেশকে একটি সম্মানজনক রাষ্ট্রে পরিণত করার তার নিরলস প্রচেষ্টা ও আকাঙ্খা আপনি কবুল করুন	Political Hate
60	খবিছের মুখে আজকে আনন্দ নাই কেন	Abusive
61	শুভ কামনা রইলো বাংলাদেশ ক্রিকেট টিমকে	None
62	পুলিশ বাদে আইওবল আছে তোমরা	None
63	ওরে কামরুল বাজানআপনি এতদিন পর খালি মাঠে গোল এটা কি কইলা বাজান	None
64	খানকির পোলারা হেডার নিউজ দেস নিউজের মাঝখানে দুইবার দেস এড	Profane
65	আমাদের বাড়িতেও বউ নিয়ে সৌদি আসবে বলেছেন তিনিও এর তারও খামার আছে আমার বাড়িও কিশোরগঞ্জের কটিয়াদী থানার লোহাজুরি ইউনিয়নে	None
66	আংগুল ফল টক	None
67	কোটি মানুষের রিজিক অটো রিস্কা ব্যাটারি বন্ধের সিদ্ধান্ত নিলে কঠিন হাতে দমন অবৈধ সেই প্রয়োজনে নিজ হাতে অস্ত্র তুলে নেবো আমাদের পেটে লাথি মারতে আসবেন বাংলাদেশের বেকারত্ব অনেক বেশি আমরা রাজনীতি করিনা বলই যেভাবে সেভাবে আইনকে	None
68	ফিলিস্তিন হয় আর এক সান্ত্রসবাদী	Abusive
69	যে মা রাগের বসে ভিক্ষুকের কাছে সন্তান রেখে যেতে পারে তাকে নিয়ে মন্তব্য করার রুচি নাই শুধু এটাই বলতে পারি এই মা কখনো সন্তানের নিরাপত্তা দিতে পারবেনা রাগের বসে সন্তানকে হত্যা ও করতে পারে তাই পালিত বাবা মা কে সন্তান দেয়া উচিৎ তারা ছাটাকে ভালো ভাবে মানুষ করতে পারবে	None
70	অসত্য কথা বলার জন্য উনাকে নোবেল পুরষ্কার দেওয়া হউক	None
71	বিশিষ্ট চুলকানি দাতা এই অভিনেতা সত্যি ভাল সূরসুরি দিতে পারেন	Abusive
72	মাইয়া কেনো আপনার সাথেবলে দিতেন ছেলে আসতে হবে যেমন ফারাজ করিম এরটা একটা ছেলে নিয়েছিলো	Abusive
73	আমার মতো কমেন্ট পরতে ভালোবাসো কারা	None
74	এই রকম কথা বলার জন্য এরে তেল দে কে	Abusive
75	এতে বলাটা হবে	None
76	শিঘ্রই তোমার রব তোমাকে এতো বেশি দিবেন যে তুমি খুশি হয়ে যাবে সূরা দোহা০৫	None
77	যারা লিখেছেন তাদেরকে কেন আইনের আওতায় আনতে পারছেন না	None
78	আস্তে আস্তে সবকিছুই দেবে আমেরিকা	None
79	খুনিদের সরাসরি গুলি করা উচিত তাহলে আর খুন খারাপি হবে না	Abusive
80	বাল্ পাখনা কাউয়া	Profane
81	প্রশাসন নাকি জনবান্দববিরাট জোকহ	Abusive
82	আমেরিকার দাদাগিরি শেষ	Abusive
83	বস মেন্টর না বসের কথায় যেটা বুজলাম বস খেলতে চায় আর বসতো খেলতেই পারে কেননা বস ওয়ানডে থেকে অবসর নেন নাই	None
84	লোকজন মনে মনে বলতেছেবিরিয়ানি আর টাকা কবে যে পাবোতাদের কানে কোনো বক্তব্য যাচ্ছে না	None
85	পাকিস্তানিদের মতো একটারবদলা তিনটা না নিলে এদের কোনদিন শিক্ষা হবে এদের স্পর্ধা বেড়ে গিয়েছে প্রতিবাদ না করার কারণে	Political Hate
86	২০০৮ সালে যেমন আপনারা ৩০ টাও আসন খুঁজে পাননি তো এই ১৫ বছরে কী এমন করলেন যে ৩০ টা থেকে ২৫০ আসন পেয়ে যাবেন	Political Hate
87	বিসিবির সবগুলোকে পদত্যাগ চাই	Political Hate
88	বাঙলা দেশ সরকার মৈদুল ইসলামের মুন্ডুচ্ছেদ করে দিকআর যারা সাহায্য করেছে যাবৎজীবন কারাগারে রেখে দেওয়া হোক বহু বিবাহ নিষিদ্ধ করা হোক দেশে	Abusive
89	ইদানীং একটা জিনিস লক্ষ্য করছি এর বাথরুম আসলে এর একি সময়ে বাথরুম ধরে	Abusive
90	এর জন্য আইসিসি দায়ী	Abusive
91	বাংলা ওয়াশ সিরিজে বাংলা ওয়াশ হওয়া টাই বাংলাদেশের লক্ষ্য	Abusive
92	ইমরান খানের জন্য আন্তরিক শুভেচ্ছা ও ভালো বাসা রইল আজীবন	None
93	এর চেয়ে দেশের ফুটবলের পেছনে খরচ করলেই হত	None
94	দোয়া ও প্রেম অবিরাম সুমন ভাইয়ের জন্য জয় হবে ইনশাসৃষ্টিকর্তা	None
95	বাংলাদেশে কত দিন পরে হবে লেজোর	None
96	বাপের জন্ম এত তেল দেখিনি	None
97	অনেকের দেখি এই বাংলার মহান সন্তানদের চেয়ে হাজার কিলোমিটার দূরের লোকদের নিয়ে বেশি আগ্রহ এর কারণ কেউ বলবে	None
98	কবে কার সংবাদ এখন তো ধান কাটতাছে আর এই রিপোর্ট দেখলাম ধান কাছে কেবল বেড়ে উঠতাছে	None
99	আজ যাত্রী বহন করবে কি যদি যাত্রী বহন করে তবে আমি যেতে চাই	None
100	নায়ক দিয়ে ভোক্তা অধিকার হাস্যকর ছাড়া আর কি হতে পারে	Abusive
101	পাচারকারি যেই দলের হোক না কেন তাদের আইনের আওতায় এনে দৃষ্টান্ত মূলক শাস্তি দাবি করছি যদি সম্ভব না হয় তাহলে তাদের দেশে থাকা পরিবারের লোকদের আইনের আওতায় আনা হোক তাহলে সফলতা আসবে	None
102	রাস্তা তৈরি করছে নাকি শুধু ঢালাই দিছে	None
103	সময় টিভির কোন সাংবাদিকের নাম্বার হবে	None
104	আপনাদের কলিজাও কাপেনা এমন অসত্য কেমনে বলেন	Abusive
105	মোখা চলে গেছে সৃষ্টিকর্তার কাছে শোকর আলহামদুলিল্লাহ	None
106	আপননে সমালচনা জন্ম দেননিজ বন্ধু কেউ খোঁচা দিতে আপনে ছাড়েন না	None
107	আলহামদুলিল্লাহ সরকার পুরোধান কে	None
108	ভোট চোরদের সাইস করা হবে তাই অস্ত্র আনতাছে	Abusive
109	সৃষ্টিকর্তা আমাদের সকলকে হেফাজত করুন	None
110	সময় টিভিকে দেয়া বক্তব্যে এটা তো দেশেই দেওয়া সম্ভব	None
111	ঢুশ খাইয়া হুশ ফিরছে তাহলে	None
112	দালালি বন্ধ করে দেশের সংবাদ বল	Abusive
113	যাঁরা সাংবাদিক নামের সাংঙতিক তাদের গায়ে আগুন জলে	Abusive
114	বরিশালের রিপোর্টারের কথা বলার সময় ঐ যে হাঁপানি রোগ আছে সেটা ঠিক করতে হবে	None
115	হিন্দু ছাদের কি দেওয়া হলো	Religious Hate
