10000000	ধন্যবাদ বর্ডার গার্ড হরিণকে এইভাবে রক্ষা করতে হবে যদি আপনি যদি আমাদের আক্রমণ না করতে হয় তবে ভয় পাবেন না	None
10000001	আমি ছোটবেলায় প্রচুর ঝামেলা সম্পর্কে কিছু শিখার কথা ভাবছিলাম, তবে কিছু বন্ধুর স্ক্রিনশটের ভয়ে আমি কিছু বন্ধুকে দেব না।	None
10000002	রায় অতিরিক্ত অতিরিক্ত সময়ে নিজেকে ব্যাজ তৈরি করছে	Abusive
10000003	চীন ইন্ডিয়া রাশিয়া যদি এই তিনটি দেশের মধ্যে একটি হয় তবে এটি বিশ্বকে শাসন করা সম্ভব	None
10000004	কে বিচার করবে এটি এই চোরদের God শ্বর পিতা	Abusive
10000005	অন্য দেশে তুরা জেস জেস নয়	None
10000006	সংখ্যালঘুদের উপরে বিভিন্ন নৃশংসতার কারণে দেশ বিভাগের সময়ে, সংখ্যালঘুদের মধ্যে 20 শতাংশ লোক পশ্চিম পাকিস্তানে বাস করে, আজ এই সংখ্যার মাত্র 5 শতাংশ।	None
10000007	ইরান একটি পারমাণবিক বোমা তৈরি করবে যে বিয়ের বয়স আর বোমা তৈরি হয় না	Abusive
10000008	কেন আজ এই উত্সব	None
10000009	ইমরান ছাড়াও পাকিস্তান রাজনীতিতে পাকিস্তানি সেনাবাহিনীর জীবন -হুমকির কৌশলকে ঘুরে দাঁড়াতে সক্ষম হবে, পাকিস্তানিরা ছাড়াও বুঝতে পারে যে তত্কালীন পূর্ব পাকিস্তানের কুখ্যাত সেনাবাহিনীর নির্মম সেনাবাহিনী পাকিস্তানের নৃশংস হত্যাকাণ্ড এবং পাকিস্তানি সেনাবাহিনীকে বিভক্ত করা উচিত।	None
10000010	দরিদ্রদের রক্ত ​​আপনার ব্যবসায়ীদের যেভাবে আল্লাহ ব্যতীত দাম বাড়াতে চান তা চুষছে।	None
10000011	মুসলিম বাচ্চারা যখন তাদের বাচ্চা পাবে তখন পুরো পৃথিবী ধ্বংস করবে	Profane
10000012	এটি কেবল বাংলাদেশে সম্ভব	None
10000013	শেখ হাসিনা, প্রত্যেকের বাংলা মা	None
10000014	মাহি অপু মাঠে উত্তপ্ত হচ্ছে	None
10000015	বাড়ি	Profane
10000016	নম্বর	Abusive
10000017	নিজস্ব আইন অনুসারে বাংলাদেশ বাংলাদেশের মালিক হবেন	None
10000018	শুভেচ্ছা ন্যাটো কান্ট্রি পোল্যান্ড	None
10000019	কামাল ড।	Abusive
10000020	ভারত নিয়ে এতটা আলোচনা রয়েছে যে ভারতে একটি মসজিদটি ভেঙে ফেলা হয়েছে এবং কেউই দেখতে পাবে না যে আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদ বিস্ফোরিত হয়েছিল।	Religious Hate
10000021	বিএনপি লজ্জার জন্য লজ্জা পেয়েছে যাতে আপনি এত নির্লজ্জভাবে উপলব্ধি করে এমন শক্তি ছেড়ে দিতেন	Abusive
10000022	দেশে দেশটি কী করবে এবং কত বছর বলতে লাগবে তা আমি দেখতে পাব	Abusive
10000023	দিন	None
10000024	তারা জনগণকে হলের ষাঁড় তৈরি করছে কারণ এই অর্থ দিয়ে দেশের সংকট মোকাবেলা করা কখনই সম্ভব নয়।	Political Hate
10000025	আপনি যদি কম বলেন, দেশে যাওয়ার মতো কিছুই না পাওয়া ভাল হবে।	None
10000026	আমি এ জাতীয় আশ্বাসও দিতে পারি	None
10000027	নাজমুল হাসান পাপান সাব মন্ত্রী হিসাবে আমাদের ভৈরাবের বাসিন্দার পক্ষে একটি লাল গোলাপের শুভেচ্ছা জানিয়েছেন।	None
10000028	এবং রোহিঙ্গা অনুপ্রবেশের একটিতে প্রয়োজনে ক্রসফায়ারে দালালদের বিষাক্ত করার জন্য পুড়ে যায়।	Abusive
10000029	আর্জেন্টিনার জার্সি গাইতে আপনি লজ্জা পাচ্ছেন না	Abusive
10000030	ওহ, যদি রাষ্ট্রপতি জিয়ার নামটি ম্লান হয়ে যায়, যদি হাসুবু আইডা শোনেন, তবে তার ব্যবসা ধ্বংসের ধ্বংসের দ্বারা ধ্বংস হয়ে যাবে, তবে হালার শেখ মুজিবের নাম আপনার উপহার আপনাকে পাঠিয়ে দেবে।	Political Hate
10000031	আমাদের দেশ অন্য সাফল্যের এক ধাপে উঠেছে	None
10000032	এই পুরানো প্রযুক্তি যুদ্ধজাহাজের মাধ্যমে কিছুই ঘটবে না, প্রতিবেশী দেশগুলির তুলনায় 5 বছরের জন্য কোনও দেশের জন্য কিছুই হবে না।	None
10000033	তাদের গ্রেপ্তার করা উচিত এবং শাস্তি হিসাবে আইনের আওতায় আনা উচিত	Abusive
10000034	আমি ঠিক জানি না তিনি হিন্দু বা মুসলিম	None
10000035	ধন্যবাদ, তবে অসম্পূর্ণ প্রতিবেদন	None
10000036	চীন হাসিনার অধীনে কোনও নির্বাচনের অধীনে কোনও দলীয় নির্বাচনের তত্ত্বাবধানে সরকারের তত্ত্বাবধানে কোনও সংবিধান থাকবে না।	Political Hate
10000037	খবরটি হওয়ার আগে কেন নয়	None
10000038	নিশ্চয়ই তিনি দাজলের সৈনিক ছিলেন	Abusive
10000039	আল্লাহ বেগম জিয়া দেন	None
10000040	হঠাৎ নির্বাচন প্যানেল	None
10000041	সৌদি কিং	Profane
10000042	ডিজিক্স এক্স নামে একটি মহামারী কোণার ভাইরাসের চেয়ে 20 গুণ বেশি শক্তিশালী আসবে।	None
